Step,Win percentage,Player,Parent action,Action,al_bridge_1,al_bridge_2,al_bridge_3,al_escape_1,al_escape_2,al_escape_3,en_bridge_1,en_bridge_2,en_bridge_3,en_escape_1,en_escape_2,en_escape_3,al_pawns,en_pawns
1,57.99999999999999,1,,"(0, 'WEST', 'h', 0, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,50.0,1,,"(0, 'WEST', 'h', 1, 3)",3,3,4,3,2,3,3,4,4,3,3,3,0,0
1,56.00000000000001,1,,"(0, 'WEST', 'h', 2, 3)",4,3,3,3,2,3,3,4,4,3,3,3,0,0
1,54.0,1,,"(0, 'WEST', 'h', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,57.0,1,,"(0, 'WEST', 'v', 1, 2)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,56.00000000000001,1,,"(0, 'WEST', 'v', 2, 2)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,40.0,1,,"(0, 'WEST', 'v', 3, 2)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,44.0,1,,"(0, 'WEST', 'v', 1, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,52.0,1,,"(0, 'WEST', 'v', 2, 3)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,44.0,1,,"(0, 'WEST', 'v', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,40.0,1,,"(0, 'NORTH', 'h', 0, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,48.0,1,,"(0, 'NORTH', 'h', 1, 3)",3,3,4,3,2,3,3,4,4,3,3,3,0,0
1,46.0,1,,"(0, 'NORTH', 'h', 2, 3)",4,3,3,3,2,3,3,4,4,3,3,3,0,0
1,46.0,1,,"(0, 'NORTH', 'h', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,50.0,1,,"(0, 'NORTH', 'v', 1, 2)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,54.0,1,,"(0, 'NORTH', 'v', 2, 2)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,36.0,1,,"(0, 'NORTH', 'v', 3, 2)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,48.0,1,,"(0, 'NORTH', 'v', 1, 3)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,28.000000000000004,1,,"(0, 'NORTH', 'v', 2, 3)",4,3,4,3,1,3,3,4,4,3,3,3,0,0
1,52.0,1,,"(0, 'NORTH', 'v', 3, 3)",4,4,3,3,2,2,3,4,4,3,3,3,0,0
1,54.0,1,,"(0, 'SOUTH', 'h', 0, 3)",3,4,4,1,2,3,4,4,4,3,3,3,1,1
1,57.333333333333336,1,,"(0, 'SOUTH', 'h', 1, 3)",3,3,4,2,2,3,4,4,4,3,3,3,1,1
1,48.0,1,,"(0, 'SOUTH', 'h', 2, 3)",4,3,3,2,2,3,4,4,4,3,3,3,1,1
1,61.93939393939394,1,,"(0, 'SOUTH', 'h', 3, 3)",4,4,3,2,2,2,4,4,4,3,3,3,1,1
1,52.0,1,,"(0, 'SOUTH', 'v', 1, 2)",3,4,4,2,2,3,3,4,4,3,3,3,0,0
1,77.3984962406015,1,,"(0, 'SOUTH', 'v', 2, 2)",4,3,4,2,1,3,4,4,4,3,3,3,1,1
1,60.0,1,,"(0, 'SOUTH', 'v', 3, 2)",4,4,3,2,2,2,4,4,4,3,3,3,1,1
1,57.99999999999999,1,,"(0, 'SOUTH', 'v', 1, 3)",3,4,4,1,2,3,4,4,4,3,3,3,1,1
1,52.0,1,,"(0, 'SOUTH', 'v', 2, 3)",4,3,4,2,1,3,4,4,4,3,3,3,1,1
1,60.0,1,,"(0, 'SOUTH', 'v', 3, 3)",4,4,3,2,2,2,4,4,4,3,3,3,1,1
1,52.0,1,,"(1, 'NORTH', 'h', 0, 3)",3,4,4,2,2,3,4,3,4,4,3,4,0,0
1,44.0,1,,"(1, 'NORTH', 'h', 1, 3)",3,3,4,3,2,3,4,3,4,4,3,4,0,0
1,48.0,1,,"(1, 'NORTH', 'h', 2, 3)",4,3,3,3,2,3,4,3,4,4,3,4,0,0
1,54.0,1,,"(1, 'NORTH', 'h', 3, 3)",4,4,3,3,2,2,4,3,4,4,3,4,0,0
1,46.0,1,,"(1, 'NORTH', 'v', 1, 2)",3,4,4,2,2,3,4,3,4,4,3,4,0,0
1,54.0,1,,"(1, 'NORTH', 'v', 2, 2)",4,3,4,3,1,3,4,3,4,4,3,4,0,0
1,55.0,1,,"(1, 'NORTH', 'v', 3, 2)",4,4,3,3,2,2,4,3,4,4,3,4,0,0
1,50.0,1,,"(1, 'NORTH', 'v', 1, 3)",3,4,4,2,2,3,4,3,4,4,3,4,0,0
1,48.0,1,,"(1, 'NORTH', 'v', 2, 3)",4,3,4,3,1,3,4,3,4,4,3,4,0,0
1,46.0,1,,"(1, 'NORTH', 'v', 3, 3)",4,4,3,3,2,2,4,3,4,4,3,4,0,0
1,57.0,1,,"(1, 'SOUTH', 'h', 0, 3)",3,4,4,2,1,3,4,4,4,4,3,4,1,1
1,61.25,1,,"(1, 'SOUTH', 'h', 1, 3)",3,3,4,3,1,3,4,4,4,4,3,4,1,1
1,61.529411764705884,1,,"(1, 'SOUTH', 'h', 2, 3)",4,3,3,3,1,3,4,4,4,4,3,4,1,1
1,61.44444444444444,1,,"(1, 'SOUTH', 'h', 3, 3)",4,4,3,3,1,2,4,4,4,4,3,4,1,1
1,60.0,1,,"(1, 'SOUTH', 'v', 1, 2)",3,4,4,2,1,3,4,4,4,4,3,4,1,1
1,60.0,1,,"(1, 'SOUTH', 'v', 2, 2)",4,3,4,3,1,3,4,3,4,4,3,4,0,0
1,61.68421052631579,1,,"(1, 'SOUTH', 'v', 3, 2)",4,4,3,3,1,2,4,4,4,4,3,4,1,1
